MonthDate,Final_NS,Channel,Orders Volume Temp
2023-01-01 00:00:00,155891.05999999944,Dine In,935
2023-01-01 00:00:00,127544.00000000006,Swiggy,472
2023-01-01 00:00:00,48120.63,Zomato,190
2023-01-02 00:00:00,66038.9400000002,Dine In,415
2023-01-02 00:00:00,86541.00000000007,Swiggy,347
2023-01-02 00:00:00,51282.76,Zomato,212
2023-01-03 00:00:00,55880.14000000015,Dine In,337
2023-01-03 00:00:00,82827.0000000001,Swiggy,333
2023-01-03 00:00:00,52918.92999999999,Zomato,224
2023-01-04 00:00:00,56040.88000000014,Dine In,340
2023-01-04 00:00:00,150,Others,1
2023-01-04 00:00:00,92538.00000000017,Swiggy,375
2023-01-04 00:00:00,49513.21999999999,Zomato,212
2023-01-05 00:00:00,62518.12000000028,Dine In,345
2023-01-05 00:00:00,95989.00000000022,Swiggy,374
2023-01-05 00:00:00,58475.10000000001,Zomato,239
2023-01-06 00:00:00,66674.04000000017,Dine In,400
2023-01-06 00:00:00,113052.00000000009,Swiggy,446
2023-01-06 00:00:00,74635.73000000001,Zomato,300
2023-01-07 00:00:00,106393.19999999991,Dine In,686
2023-01-07 00:00:00,111907.00000000006,Swiggy,442
2023-01-07 00:00:00,80785.74999999999,Zomato,317
2023-01-08 00:00:00,127222.14000000026,Dine In,799
2023-01-08 00:00:00,107599.00000000009,Swiggy,418
2023-01-08 00:00:00,66488.43000000001,Zomato,278
2023-01-09 00:00:00,56296.280000000166,Dine In,333
2023-01-09 00:00:00,340,Others,1
2023-01-09 00:00:00,95877.00000000012,Swiggy,378
2023-01-09 00:00:00,51480.94999999999,Zomato,227
2023-01-10 00:00:00,64264.96000000018,Dine In,377
2023-01-10 00:00:00,145,Others,1
2023-01-10 00:00:00,75676.99999999997,Swiggy,308
2023-01-10 00:00:00,56488.66000000001,Zomato,235
2023-01-11 00:00:00,67151.38000000015,Dine In,456
2023-01-11 00:00:00,185,Others,1
2023-01-11 00:00:00,96630.0000000002,Swiggy,379
2023-01-11 00:00:00,64558.180000000015,Zomato,251
2023-01-12 00:00:00,71848.22000000019,Dine In,472
2023-01-12 00:00:00,255,Others,1
